Woonplaats,State,StateFull,Constellation,Bloodtype,Pounds,Kilograms,FeetInches,Centimeters,Gender
Horn,LI,Limburg,Cancer,A-,209.7,95.3,"6' 0""",182,male
Maasbree,LI,Limburg,Libra,O+,143,65,"5' 5""",164,female
Heerlen,LI,Limburg,Taurus,O+,201.5,91.6,"5' 9""",174,female
Espel,FL,Flevoland,Gemini,A+,133.8,60.8,"5' 6""",168,male
Rhenen,UT,Utrecht,Taurus,A+,244,110.9,"6' 0""",183, male
Aalten,GE,Gelderland,Aries,B+,140.1,63.7,"5' 2""",157,female
Breugel,NB,Noord-Brabant,Aries,B+,124.5,56.6,"5' 3""",160,female
Herwen,GE,Gelderland,Aquarius,B+,181.3,82.4,"5' 6""",167,female
Scherpenzeel,GE,Gelderland,Leo,A+,152.5,69.3,"5' 8""",173,female
Wouwse Plantage,NB,Noord-Brabant,Virgo,O+,215.6,98,"5' 6""",167,male
Huissen,GE,Gelderland,Scorpio,O+,183.7,83.5,"5' 4""",163,female
Dinteloord,NB,Noord-Brabant,Gemini,B+,161.7,73.5,"5' 6""",167,male
Hoevelaken,GE,Gelderland,Leo,A+,211.2,96,"5' 5""",164,female
Brummen,GE,Gelderland,Capricorn,O-,178.6,81.2,"5' 2""",157,female
Haaren,NB,Noord-Brabant,Taurus,A+,161.5,73.4,"5' 8""",172,male
Hardenberg,OV,Overijssel,Virgo,B+,202.6,92.1,"5' 4""",163,female
Tilburg,NB,Noord-Brabant,Taurus,AB+,176,80,"5' 7""",170,female
Utrecht,UT,Utrecht,Libra,O+,208.1,94.6,"5' 2""",157,female
Rotterdam,ZH,Zuid-Holland,Gemini,B+,178.9,81.3,"5' 3""",161,female
Boxmeer,NB,Noord-Brabant,Sagittarius,O-,198.9,90.4,"6' 0""",184,male
Zevenaar,GE,Gelderland,Taurus,B+,200,90.9,"6' 2""",189,male
Hazerswoude Dorp,ZH,Zuid-Holland,Capricorn,A+,185,84.1,"5' 8""",173,female
Oudenbosch,NB,Noord-Brabant,Cancer,AB+,202.2,91.9,"6' 2""",187,male
Almere,FL,Flevoland,Cancer,A+,136,61.8,"5' 7""",169,female
Maassluis,ZH,Zuid-Holland,Virgo,O+,174,79.1,"5' 4""",163,female
Almelo,OV,Overijssel,Pisces,O+,147.6,67.1,"5' 1""",155,female
Mijdrecht,UT,Utrecht,Aries,O-,178.4,81.1,"5' 7""",171,male
Linne,LI,Limburg,Taurus,A+,171.4,77.9,"5' 7""",171,male
Overveen,NH,Noord-Holland,Capricorn,B+,211.6,96.2,"5' 2""",157,female
Voorburg,ZH,Zuid-Holland,Gemini,O+,211.4,96.1,"5' 7""",171,female
Hilversum,NH,Noord-Holland,Taurus,O+,241.6,109.8,"5' 10""",177,male
Landgraaf,LI,Limburg,Aries,B+,155.5,70.7,"5' 7""",170,female
Valkenswaard,NB,Noord-Brabant,Aquarius,O+,141.9,64.5,"5' 10""",178,male
Posterholt,LI,Limburg,Aquarius,AB+,176,80,"5' 6""",167,male
Schoonhoven,ZH,Zuid-Holland,Pisces,B+,127.4,57.9,"5' 7""",169,female
Berkel en Rodenrijs,ZH,Zuid-Holland,Sagittarius,B+,246.4,112,"5' 10""",178,male
Axel,ZE,Zeeland,Sagittarius,A-,238.7,108.5,"5' 8""",173,male
Noordwijk,ZH,Zuid-Holland,Taurus,O+,150,68.2,"5' 5""",165,male
Deventer,OV,Overijssel,Virgo,O+,203.7,92.6,"5' 5""",165,male
Goes,ZE,Zeeland,Libra,O-,108.7,49.4,"5' 9""",175,female
Krommenie,NH,Noord-Holland,Aquarius,O-,180.6,82.1,"5' 8""",173,male
Amsterdam,NH,Noord-Holland,Aries,B+,148.1,67.3,"6' 0""",182,male
Groenlo,GE,Gelderland,Gemini,A+,195.1,88.7,"6' 0""",183,male
Delft,ZH,Zuid-Holland,Aries,AB+,128.9,58.6,"5' 2""",158,female
Amersfoort,UT,Utrecht,Cancer,B+,214.3,97.4,"5' 2""",158,female
Gouda,ZH,Zuid-Holland,Aries,B+,221.1,100.5,"5' 10""",179,male
Breda,NB,Noord-Brabant,Libra,O+,189.6,86.2,"5' 2""",158,female
Amsterdam,NH,Noord-Holland,Aries,O+,145.4,66.1,"5' 5""",165,male
Woerden,UT,Utrecht,Virgo,B+,178.9,81.3,"5' 11""",181,male
Ruurlo,GE,Gelderland,Gemini,A+,160.8,73.1,"5' 1""",156,female
Spijkenisse,ZH,Zuid-Holland,Cancer,A+,211.4,96.1,"5' 5""",166,female
Wergea,FR,Friesland,Scorpio,A+,126.9,57.7,"5' 3""",160,female
